"Date submitted";"Identification";"Please enter your Firm's Name";"Kindly enter firm's POC email address";"Kindly enter firm's POC mobile number";"Please upload an excel sheet (.xlxs) with details of personnel desirous of attending - Interactive Session I, Interactive Session II and Plenary Session. ""THESE NOMINATIONS SHOULD BE IN ADDITION TO THE PERSONNEL NOMINATED TO MAN STALLS DURING EXHIBITION"". The 'columns' of excel should be - Sl no, Name, Aadhar Card No, Mobile no and Session attending (Name of sessions - 1 or all 3)"
"12/11/2025, 09:50";"aYZkAH18X7F09HCqgKhn";"NUCLEONIX SYSTEMS PVT LTD";"info@nucleonix.com";"9966691000";"https://tripetto.app/attachment/08d7f52eef9c1b7ba836ee79968a966f336935e21f695d777b09b8886d5d240d?filename=personnel%20details.xlsx"
"12/11/2025, 08:29";"1WgKGdfa6KZ7nAx4bBkR";"Chipspirit Technologies Pvt Ltd";"marketing@chipspirit.com";"7204689294";"https://tripetto.app/attachment/0d8f9a87e01fd6eac06426c410e7e29d8a19f0930ce81a9e05b4855b1f3ff355?filename=Chipspirit%20Attendees%20for%20Swavlamban%202025%20seminars.xlsx"
"12/11/2025, 06:34";"MrDL79SwVXJ1qoXdk4sy";"Pinaca Technologies Private Limited";"aditya.b@pinacagroup.com";"+91-8770580825";"https://tripetto.app/attachment/3de51a9de1be4b89cd81a203fb6375e27624e1a349e368d2b1cea76747a53906?filename=Swavlamban%202025%20Seminar-Pinaca%20Technologies%20Private%20Limited.xlsx"
"11/11/2025, 09:38";"m2DOcbir1nkcRYRG7k96";"Medjay Technologies";"aparajita@medjaytechnologies.in";"+91 9573288965";"https://tripetto.app/attachment/5bb20048cb141c7d5bb3ee1774ed1f00a50e8b2a582bec23dd87cb012cb8478e?filename=seminar%20registration-medjay.xlsx"
"11/11/2025, 09:10";"UGrHQ4ehAxb27ljQJqsX";"Kalam Labs";"harshit@elixarsystems.com";"9140658594";"https://tripetto.app/attachment/5ca8e42ec9ff1877c9845d36fb55ea3cd9e8edb5f46fcc8b72ddc43d453a6c98?filename=Team%20-%20Sheet1.csv"
"11/11/2025, 07:39";"fWWEr9qlo8vy8gOndPQl";"Aikairos Pvt Ltd";"mkuls2018@gmail.com";"9311514577";"https://tripetto.app/attachment/6b6e6e8665fc486521c94dc8672d105af9160c6e752d442b64731762ace26e5a?filename=New%20Microsoft%20Excel%20Worksheet.xlsx"
"10/11/2025, 05:20";"Lr7dNGu6812lsFuhVY1e";"SpaceFields private limited";"masook@spacefields.in";"9522555592";"https://tripetto.app/attachment/e74d7a77c298cf70394bc51bcf92f49932f13537bb191b15a9ed8ec2ff110ea9?filename=new.xlsx"
"08/11/2025, 07:19";"9vo0p2nTbEAK39suBVtL";"Nitrodynamics Aerospace and Defence Pvt. Ltd.";"info@nitrodynamics.in";"+9319007511";"https://tripetto.app/attachment/82c454173cd65eb36674b50fbb7cfb06c142992009c7237d35ffc1ba95ea2df6?filename=NDAD_LIST%20OF%20PERSONNEL_SEMINAR.xlsx"
"08/11/2025, 07:18";"NV46BSNlWfoeLY3GtND4";"Ancor Reaserch Labs LLP";"info@ancorlabs.org";"+919971882134";"https://tripetto.app/attachment/dafa0f3eab6ff93a56a4fac69bc4cd6fc7ee3542f749379e25065dcced11518d?filename=ARL_LIST%20OF%20PERSONNEL_SEMINAR.xlsx"
"08/11/2025, 01:57";"VK4y0D4UgEWLqC8wBWim";"Ci4 - Autonomous Defense";"sh@ci4.com";"+918951061399";"https://tripetto.app/attachment/d2a978e6064aa0fc1049e8ce43b8673c9c65f5f2dd9ab760ba7d6ff64b059279?filename=Ci4%20-%20Swavlamban%20-%20Session%20Participants%20Copy.xlsx"
"07/11/2025, 05:24";"agszdkmHtUhav4ZkpRZ9";"Pinaka Aerospace Solutions Pvt Ltd.";"ankur.tandon@pinaka.co.in";"9448385804";"https://tripetto.app/attachment/7ed1f3bc98e30ea29012abf98b4824da58ff970c13cb9a6b66d26e4b270d20b0?filename=IN%20Swavalamban.xlsx"
"06/11/2025, 05:51";"hh2uGh665ojgZshwwB1M";"Vimal Fire Controls Pvt Ltd";"mmb@vimalfire.com";"8104495369";"https://tripetto.app/attachment/f2a25554aa99988f6548ed566675b582dae7ee03a488a1533c73924970566179?filename=Seminar%20Deatils%20-%20Vimal%20Fire%20Controls%20Pvt%20Ltd..xlsx"
"06/11/2025, 04:40";"Kj7cC2yZgdJHEumLVYDG";"TARDID Technologies Pvt Ltd";"uphar.s@tardidtech.com";"9900724416";"https://tripetto.app/attachment/260e66679f6ae4d603907b80d82c8ea5de5082d452cdedf54d5c9f483b90ca0c?filename=Data%20Sheet1.xlsx"
"04/11/2025, 10:22";"vh64flRamoH4jPMf6Aqf";"Almerio Defence and Aerospace LLP";"mrinaltayal@gmail.com";"9592999959";"https://tripetto.app/attachment/5551902663c30a4db50dfd87a4fde785187bde73462cbb9f203643543993af25?filename=almerio%20seminar%20details.xlsx"
"04/11/2025, 09:33";"1VJe4HRzmkxofl31aKuR";"PUJA FLUID SEALS PVT. LTD.";"team5@pujaseals.com";"+919881074834";"https://tripetto.app/attachment/1fa0f709380fdf2e8c318fa2f86506cc8c62832b4d1074422040c00db4cb3bdb?filename=SWAVLAMBAN-3%20-%20SEMINAR.xlsx"
"04/11/2025, 04:01";"0ie6xGYwYjU449MsyJHC";"ASP INNOVATIVE SOLUTIONS";"aspinnovativesolutions@gmail.com";"+918427088732";"https://tripetto.app/attachment/46efe81d9215c53a88144beba78acef01e1b862fe5b80daa8651eeed92cdbb0d?filename=Session%20Attendees%20Details.xlsx"
"03/11/2025, 09:56";"5dlgB3deGrTTr7LrsuLI";"Nitrodynamics Aerospace and Defence Pvt Ltd";"info@nitrodynamics.in";"+91 9319007511";"https://tripetto.app/attachment/f4add23a2376accd2d3a50866063362e5419ac58bc1552f057c046375aef039c?filename=NDAD_LIST%20OF%20PERSONNEL_SEMINAR.xlsx"
"03/11/2025, 09:55";"REGNCslpB8aYq2UpeMWM";"Ancor Research Labs LLP";"info@ancorlabs.org";"+91 9971882134";"https://tripetto.app/attachment/fc4fc6734688ab253d667cd91e1da3c8deaacf1065ff249588012677d7b04314?filename=ARL_LIST%20OF%20PERSONNEL_SEMINAR.xlsx"
"31/10/2025, 11:58";"VCmZMRdP0jr3H2I0yR0L";"M/s Radome Technologies and Services Private Limited";"sales@radometech.com";"9538946709";"https://tripetto.app/attachment/93f786d24800259ecd8d3f7d406725fe3387d07241e61f8641a901049abc3d39?filename=Swavalamban%202025%20Session%20Attendee%20Details.xlsx"
"31/10/2025, 08:34";"FmycWXd4nsnXJ19heCwZ";"Botlab dynamics private limited";"sonam.saroha@botlabdynamics.com";"7011417541";"https://tripetto.app/attachment/6e11ec498e22a0f9e397fa47a921eba520932ac9f6a781f3e5af3ef86ee5e50b?filename=seminar%20registration.xlsx"
"30/10/2025, 11:06";"RpwbJzZOBhCHMOGPTqCY";"Whizbee Technologies";"rahultayal@whizbeetech.com";"9223529498";"https://tripetto.app/attachment/7bbe665f4dfa2fbb71462b26f28016d714d7ded6795cff8f0955770778906e36?filename=WhizbeeSessionsAttendance.xlsx"
"30/10/2025, 10:32";"kGGUDEVAc24HuqpNdZYD";"Altair Infrasec Pvt Ltd";"indrani.bhave@altair.in";"+91 86984 81852";"https://tripetto.app/attachment/6557bd720f4eafa935a3c86d0fc585143ecf48deaf1d24f4b60d42e0264916c1?filename=List%20of%20Delegates%20for%20Seminar%20-%20Altair%20Infrasec%20Pvt%20Ltd.xlsx"
"30/10/2025, 06:59";"kFidin1xXTUyGItBfBhb";"Thirdi Semitech Private Limited";"vrinda@3rditech.in";"9871016388";"https://tripetto.app/attachment/8d8f5e4645d5717197e4dbc6ef0e2d760c9f52e323f09c3ef24a6b1436c74ede?filename=Swavlamban_Attendees%20Details.xlsx"
"29/10/2025, 09:34";"cBHWr1SGqMJgT1v4lAVu";"Pine Automation LLP";"manish@pineautomation.com";"+919971479990";"https://tripetto.app/attachment/bd4d36b5d122c9f4e02831357d9bbae77157583a838233793c98a043de73b8f2?filename=PineAutomationLLP_Attendee.xlsx"
"29/10/2025, 09:01";"MxDOc26eyergTiz6s8W4";"Almerio Defence and Aerospace LLP";"almerioindia@gmail.com";"18001030352";"https://tripetto.app/attachment/cf9d484c680e1c9346eccac874fa555731780b6cd791b0a363f275e6e735a272?filename=Seminar.xlsx"
"29/10/2025, 07:18";"YnIl3PANyjwWJlvAb8qf";"Sagar Defence Engineering Private Limited";"babbarmridul29@gmail.com";"9034966650";"https://tripetto.app/attachment/ec133151992afe38e215a6f0ceeb01c07acd7e02cc2541f0ab77a469f340827f?filename=SDEPL%20details%20_%20Swavlamban%202025.xlsx"
"24/10/2025, 06:47";"wIxtys3mPmnHw9pY3myg";"Aikairos Pvt Ltd";"rachna@aikairos.com";"+919311514577";"https://tripetto.app/attachment/0b1c1d0f6d8ba97aef288f44102dce70e900a7f3691a2663871ec97c43b3b070?filename=New%20Microsoft%20Excel%20Worksheet.xlsx"
"17/10/2025, 14:33";"Rg4TZPJ8UPwdeIePeigY";"Combat Robotics India Private Limited";"gps@combatrobotics.in";"+919762341441";"https://tripetto.app/attachment/a1344d0d45cb06aa9ff9b6b358a2b64f863353fea158ccd1f6871793459370e2?filename=combat_robotics_seminar_list.xlsx"
"10/10/2025, 17:24";"vpydp5WYsRhljYYjo8hl";"CORATIA TECHNOLOGIES PVT. LTD.";"debpradhan@coratia.com";"9078262206";"https://tripetto.app/attachment/a6b7b3679c89fde89a2596399cf963609fc3c01aeb9722e12fada8c6fc3da58c?filename=Session%20attendees-Coratia.xlsx"
"10/10/2025, 14:22";"uUr8IDumS221WSmY9mxg";"Ci4 - Autonomous Defense";"sh@ci4.com";"+919740496061";"https://tripetto.app/attachment/c69d8e863bf345c4bf97bda89068fb9655d4ca0d5e96a7c7b119e3877b4888e2?filename=Ci4%20-%20Swavlamban%20-%20Session%20Participants.xlsx"
"10/10/2025, 13:26";"rJb2V98u6ym1YFZuaS8v";"Azista Industries Private Limited";"rovin.sharma@azistaindustries.com";"+918851419411";"https://tripetto.app/attachment/f5867f3ef315846ff87415dcccb9c9e54754b6583af68fd68e215ffbe857eebd?filename=swavlamban%202025%20-%20Attendees%20list.xlsx"
"10/10/2025, 12:40";"ovNgppopkWfpW1pdrAVs";"AETHRONE AEROSPACE";"aethroneaerospace@gmail.com";"7219450026";"https://tripetto.app/attachment/5c335b2ac92aeaba0d30d5eda47a82218264a810c22d4c60104b247aed0ed06c?filename=Names%20visiting%20the%20seminar%20from%20Aethrone.xlsx"
"09/10/2025, 11:16";"GsrcwGfSrD77d79zTmzm";"Guardinger Advanced Technologies Private Limited";"mahesh.bhalavi@guardinger.in";"7972773229";"https://tripetto.app/attachment/120c04c7b702b2224befcf43c5d3e5d05cd1575aee792c909933b07863c042b1?filename=Seminar%20Attendee%20Name.xlsx"
"09/10/2025, 10:11";"Wfkh7YhldGse9nPdozl4";"Planys Technologies Pvt Ltd";"nikhil.l@planystech.com";"8767004367";"https://tripetto.app/attachment/ff82eb22a50019b10cbf95a2065f0376c6e45aab96731fcb60d35197ec92b6f2?filename=Swavlamban%202025.xlsx"
"08/10/2025, 11:49";"iMjwWfzoNYxwuSdsZNQ1";"EON SPACE LABS PRIVATE LIMITED";"punit@eonspacelabs.com";"+91-9406618009";"https://tripetto.app/attachment/0659b9620abe62e0aecb21e58a7c6638ebe905f264f4d1ed39b2c665d25d9752?filename=Seminar%20Registration.xlsx"
"07/10/2025, 08:24";"WYQ1DJ627XhhDSezJDXn";"Medjay Technologies Pvt Ltd";"naveenkundra@medjaytechnologies.in";"9850962266";"https://tripetto.app/attachment/735293b31c0943a91d56041e8820b66ea694a9d8527ffa88d389d73f6babd1cf?filename=list%20of%20attendees-%20Medjay%20Technologies.xlsx"
"07/10/2025, 05:54";"zSXnA5QWobqQh75rfUba";"Resilience Business Grids LLP";"mlloops@rbg.ai";"7339103001";"https://tripetto.app/attachment/432b252380ee02716273a53a59c0155eb0ab161920c74356b95468b4420b3640?filename=RBG_LLP_Session_Attendees.xlsx"
"06/10/2025, 07:08";"9nBSl5lTLe2sTboHlwcp";"Scytale Alpha Pvt. Ltd.";"admin@scytaleindia.com";"+918447554185";"https://tripetto.app/attachment/f35c3d2fe80c66409df9fa028767b978cd5fa836652a2110f6d4df864227efbc?filename=Swavalamban%202025.xlsx"
"03/10/2025, 11:42";"LmeRN3J5Kvb1K6zFnskn";"Adisan Systems LLP";"adisansystemsllp@gmail.com";"8588863632";"https://tripetto.app/attachment/b4fbfd0c2df16b853c229e62856f0ab9d30200d09adcd499ca603801cf1b723b?filename=Swavlamnban%20Seminar%20Adisan.xlsx"
"03/10/2025, 09:03";"uIMBmdqn8zhHPuBetnkU";"Kalbhorz Electric Pvt Ltd";"ashish@kalbhorz.com";"+917756038709";"https://tripetto.app/attachment/786b108f590ab36cc4e4c16e2b296b2fb0804361d5deac9fb6531a81b9df3261?filename=Kalbhorz-Swavlamban%20Attendees.xlsx"
"03/10/2025, 07:21";"RpRXo7h84CS0IipBz6e4";"(EyeROV) IROV Technologies Private Limited";"johns@eyerov.com";"8075770558";"https://tripetto.app/attachment/218e2fe10db40e3fbdd63ab4f4cdb8d38db25d98d1e9a40ef463e60502d81a24?filename=_Personnel%20Desirous%20of%20Attending.xlsx"
"29/09/2025, 11:43";"MJtvN3SR2IG9mMLFtkzk";"Resonating Mindz Pvt.Ltd";"avinashm@resonatingmindz.com";"+919881364275";"https://tripetto.app/attachment/e44323fdf6920c103b89ce663ce7ddff7f01b3a71c13c31752cf7b58dcb4457e?filename=Details%20of%20personnel%20attending%20swavlamban%202025.xlsx"
